sis3_proteins,sis3_correlations,sis3_pvalue,facit_proteins,facit_correlations,facit_p-value
TBCB,-0.272766501,0.011035947,MANF,-0.360088647,0.00155224
SMAD1,-0.273240434,0.007160474,PAR-1,-0.370131305,0.00161655
ANGPT1,-0.275967978,0.004097391,MAP4K5,-0.370722673,0.00040654
AXIN1,-0.278289305,0.011192961,PLA2G4A,-0.374790965,0.00014649
DAPP1,-0.280561791,0.014111802,PRDX5,-0.374911017,0.00082079
DECR1,-0.28289884,0.005723437,,,
GLO1,-0.284349199,0.024097635,,,
FGF2,-0.285855673,0.001452616,,,
ABHD14B,-0.286844285,0.004375008,,,
SIRT2,-0.294338765,0.009798633,,,
EIF4B,-0.29833101,0.005762,,,
PDGF subunit B,-0.298508298,0.010406146,,,
STX16,-0.301486351,0.004005156,,,
NUB1,-0.305351167,0.006010453,,,
WWP2,-0.30599854,0.013310132,,,
PVALB,-0.311114301,0.001502818,,,
TRIM5,-0.312289515,0.004059041,,,
MANF,-0.315269993,0.006207005,,,
RARRES1,-0.32877667,0.003021828,,,
EGF,-0.329727433,0.003083913,,,
PAI,-0.337455274,0.002996369,,,
CDHR5,-0.345100779,0.004812088,,,
PTPRJ,-0.348136367,0.012584955,,,
SDC4,-0.357321598,0.004551955,,,
ARTN,-0.36085574,0.025716065,,,
DNAJB1,-0.366315045,0.000255994,,,
RNF31,-0.373145193,0.001840831,,,
TXNDC15,-0.383031855,0.000370225,,,
CTF1,-0.384515458,0.038418171,,,
